Name,Born,Died,Age,Gender,Class/Dept,Ticket,Fare,Cabin,Joined,Occupation,Survived?,Boat,Body,Nationality,URL
"ABBOTT, Mr Ernest Owen",1891,1912,21,Male,Victualling Crew,,,,Southampton,Lounge Pantry Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/ernest-owen-abbott.html
"ABRAMS, Mr William Thomas",1878,1912,34,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-thomas-abrams.html
"ADAMS, Mr Robert John",1885,1912,26,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/r-adams.html
"AHIER, Mr Percy Snowden",1892,1912,20,Male,Victualling Crew,,,,Southampton,Saloon Steward,LOST,,,Channel Islander,https://www.encyclopedia-titanica.org/titanic-victim/percy-snowden-ahier.html
"AKERMAN, Mr Albert Edward",1880,1912,31,Male,Victualling Crew,,,,Southampton,3rd Class Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/albert-akerman.html
"AKERMAN, Mr Joseph Francis",1874,1912,37,Male,Victualling Crew,,,,Southampton,Assistant Pantryman Steward,LOST,,205,English,https://www.encyclopedia-titanica.org/titanic-victim/joseph-francis-akerman.html
"ALLARIA, Sig. Battista Antonio",1889,1912,22,Male,Restaurant Staff,,,,Southampton,Assistant Waiter,LOST,,221,Italian,https://www.encyclopedia-titanica.org/titanic-victim/battista-antonio-allaria.html
"ALLEN, Mr Ernest Frederick",1888,1968,24,Male,Engineering Crew,,,,Southampton,Trimmer,SAVED,B,,English,https://www.encyclopedia-titanica.org/titanic-survivor/ernest-frederick-allen.html
"ALLEN, Mr George",1886,1912,26,Male,Victualling Crew,,,,Southampton,Scullion,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/george-allen.html
"ALLEN, Mr Henry",1882,1912,30,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,145,English,https://www.encyclopedia-titanica.org/titanic-victim/henry-allen.html
"ALLEN, Mr Robert Spencer",1876,1912,35,Male,Victualling Crew,,,,Southampton,Bedroom Steward (1st Class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/robert-spencer-allan.html
"ALLSOP, Mr Alfred Samuel",1876,1912,36,Male,Engineering Crew,,,,Belfast,2nd Electrician,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/alfred-samuel-allsop.html
"ALLSOP, Mr Frank Richard",1868,1912,43,Male,Victualling Crew,,,,Belfast,Saloon Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/frank-richard-allsop.html
"ANDERSON, Mr John",1870,,42,Male,Deck Crew,,,,Southampton,Able Seaman,SAVED,3,,English,https://www.encyclopedia-titanica.org/titanic-survivor/john-anderson.html
"ANDERSON, Mr Walter Yuill",1861,1912,50,Male,Victualling Crew,,,,Southampton,Bed Room Steward,LOST,,146,Scottish,https://www.encyclopedia-titanica.org/titanic-victim/walter-anderson.html
"ANDREWS, Mr Archibald",1872,,40,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/archibald-andrews.html
"ANDREWS, Mr Charles Edward",1893,1961,19,Male,Victualling Crew,,,,Southampton,Saloon Steward (2nd class),SAVED,16,,English,https://www.encyclopedia-titanica.org/titanic-survivor/charles-edward-andrews.html
"ARCHER, Mr Ernest Edward",1876,1917,35,Male,Deck Crew,,,,Southampton,Able Seaman,SAVED,16,,English,https://www.encyclopedia-titanica.org/titanic-survivor/ernest-edward-archer.html
"ARMSTRONG, Mr James",1881,,31,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/james-armstrong.html
"ASHCROFT, Mr Austin Aloysius",1885,1912,26,Male,Victualling Crew,,,,Southampton,Clerk,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/austin-aloysius-ashcroft.html
"ASHE, Mr Henry Wellesley",1871,1912,41,Male,Victualling Crew,,,,Southampton,Glory hole steward (3rd class),LOST,,34,Irish,https://www.encyclopedia-titanica.org/titanic-victim/henry-wellesley-ashe.html
